revision,platform,scenario,configuration_status,testcases_passed,testcases_failed,testcases_blocked,retries
baseline,m68000,kernel.fifo,failed,11,1,1,0
baseline,m68000,kernel.fifo.timeout,failed,0,1,5,0
baseline,m68000,kernel.fifo.usage,failed,1,1,1,0
baseline,m68000,kernel.lifo,failed,1,1,4,0
baseline,m68000,kernel.lifo.usage,failed,0,1,5,0
baseline,m68000,kernel.queue,failed,1,1,19,0
baseline,m68000,kernel.queue.minimallibc,failed,1,1,19,0
baseline,m68010,kernel.fifo,failed,11,1,1,0
baseline,m68010,kernel.fifo.timeout,failed,0,1,5,0
baseline,m68010,kernel.fifo.usage,failed,1,1,1,0
baseline,m68010,kernel.lifo,failed,1,1,4,0
baseline,m68010,kernel.lifo.usage,failed,0,1,5,0
baseline,m68010,kernel.queue,failed,1,1,19,0
baseline,m68010,kernel.queue.minimallibc,failed,1,1,19,0
patched,m68000,kernel.fifo,passed,13,0,0,0
patched,m68000,kernel.fifo.timeout,passed,6,0,0,0
patched,m68000,kernel.fifo.usage,passed,3,0,0,0
patched,m68000,kernel.lifo,passed,6,0,0,0
patched,m68000,kernel.lifo.usage,passed,6,0,0,0
patched,m68000,kernel.queue,passed,21,0,0,0
patched,m68000,kernel.queue.minimallibc,passed,21,0,0,0
patched,m68010,kernel.fifo,passed,13,0,0,0
patched,m68010,kernel.fifo.timeout,passed,6,0,0,0
patched,m68010,kernel.fifo.usage,passed,3,0,0,0
patched,m68010,kernel.lifo,passed,6,0,0,0
patched,m68010,kernel.lifo.usage,passed,6,0,0,0
patched,m68010,kernel.queue,passed,21,0,0,0
patched,m68010,kernel.queue.minimallibc,passed,21,0,0,0
